,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
dosha_pitta,0.054208882,-0.012309795,-0.13240959,-0.17691775,0.08544084,0.19347042,0.19137305,-0.06939507,0.071118765,0.07573127,0.20119502,-0.20107633,0.1021772,0.03302841,-0.1544391,0.09718037,0.12348527,-0.1448205,-0.2355899,0.04180282,-0.008478894,-0.0012846546,0.02590322,-0.09830423,-0.011427848,0.04580135,0.122562766,-0.013436006,-0.11247616,-0.0010468148,0.1138111,0.08111455,-0.08596806,0.15107791,-0.05998235,0.03750837,-0.027645433,-0.041217953,-0.1569646,0.069621466,-0.043784976,0.05874684,0.06391595,0.041448902,0.15330192,0.08629593,0.2912461,-0.026900202,0.25871947,-0.07351288,0.024821285,-0.22502147,-0.038820032,-0.12964776,-0.011962613,-0.028961603,0.008202443,-0.1392228,-0.09870503,0.26415625,-0.07610882,-0.17812021,-0.08752129,-0.020171305
dosha_vata,0.07809852,0.08969053,-0.11672801,-0.20136954,0.07378034,0.1877474,0.1759328,-0.086214565,0.0048879026,0.0679399,0.2360842,-0.17570098,0.04009057,0.060522225,-0.14763823,0.09609083,0.10651801,-0.17634536,-0.19837911,0.06700978,-0.0528678,0.013636998,0.009307983,-0.11277592,-0.0023897993,-0.0257378,0.081542596,0.020518031,-0.07838888,0.026660591,0.13093221,0.081177674,-0.07142633,0.15330522,-0.022649156,0.018039517,-0.022805432,-0.09588512,-0.14138539,0.065524794,-0.0025261631,0.042411633,0.046169765,0.055234253,0.10763721,0.111389495,0.2698865,-0.014555519,0.27857095,-0.006815144,0.07430027,-0.2018985,-0.038782578,-0.09878264,0.02954791,-0.038385823,0.03550225,-0.113304086,-0.12027003,0.31815895,-0.08888106,-0.1880787,-0.07510029,-0.028540052
dosha_kapha,0.079737365,0.09212973,-0.13365696,-0.15412447,0.11236264,0.22089317,0.1692595,-0.054029733,0.057108093,0.08740245,0.19717279,-0.16314012,0.10265005,0.043274127,-0.14805242,0.086932756,0.09334799,-0.23664933,-0.1854967,0.01312246,-0.042514004,0.033626102,-0.06590827,-0.12907824,0.052662067,0.044187106,0.025341863,-0.02672903,-0.14939542,0.004547878,0.07483873,0.08397961,0.00091270596,0.1362557,-0.051813502,-0.010839899,-0.030643202,-0.123846374,-0.14500052,0.07866415,-0.015681269,0.05988227,-0.018093074,0.034008324,0.12554342,0.111220725,0.30505624,-0.01134432,0.24094859,-0.024151051,0.06460973,-0.20343907,0.022298513,-0.050919645,-0.014040268,-0.032034524,0.06191722,-0.1662379,-0.12520605,0.31298074,-0.11658257,-0.1446246,-0.046221677,0.060554378
guna_laghu,0.12623356,-0.16837054,0.000562125,-0.07294344,0.20688148,0.14725503,0.13400896,0.042787172,0.1511504,0.22567628,0.22549617,-0.29724774,0.25623187,0.06845071,-0.057782143,0.14052905,0.07824462,-0.07620151,-0.27454096,-0.018667143,-0.090541326,0.18781994,-0.1543531,-0.07485054,-0.028214445,-0.008918759,0.154155,0.067502245,0.0009793187,0.09032186,-0.039713085,0.035853047,-0.053616278,0.15043004,-0.087297425,0.067736216,-0.013851975,-0.06877727,-0.16990945,-0.16692801,0.0433262,0.049917158,-0.06960139,0.0825204,0.07412393,0.17202726,0.12967628,-0.064091906,0.42115596,0.1741451,0.15420485,-0.17841066,-0.020248039,-0.05332811,0.070718445,-0.2277234,0.018519353,-0.17248838,0.098811686,0.38489074,-0.1172633,-0.13227998,-0.051358074,-0.119063444
vipaka_katu,0.1259232,-0.023260832,-0.067396805,-0.123297475,-0.036068417,0.20485024,0.20166537,-0.19467449,0.080704376,0.16049376,0.190575,-0.22228834,0.30444357,-0.076888055,-0.06882517,0.3044874,0.0508763,-0.08838825,-0.2929906,0.038831633,-0.12611632,-0.0022954675,-0.24031958,-0.28537518,-0.15638635,0.08869262,-0.061559644,-0.08016133,-0.0477026,-0.14094774,0.13776769,0.064079225,-0.017549483,0.21255249,0.010195339,0.1096939,-0.0074672215,-0.108193286,0.019186981,0.12560873,0.0015603945,-0.0161319,-0.10631951,0.27460548,0.016637277,0.2136688,0.12997158,-0.068704784,0.20541717,-0.08610355,0.24840711,-0.018969623,-0.118697524,-0.03838796,0.013328072,-0.12681523,-0.060188163,-0.2143313,-0.12858601,0.19533053,-0.06798688,-0.15106705,0.040620416,-0.1354539
virya_ushna,0.1339349,0.038763087,0.07437135,-0.10870375,0.12802607,0.2013161,0.055239525,-0.2891737,0.018197281,0.053992365,0.4077826,-0.16921458,0.059930533,0.16324456,-0.01720278,0.06051785,0.17667048,-0.20769803,-0.46164897,-0.027638935,0.28604913,0.035539493,0.037301455,-0.10130364,0.06672912,0.08619866,0.043963857,-0.23253828,-0.07219875,-0.21357808,0.0032180697,0.0005785587,-0.17013703,0.09494904,-0.0059041707,0.23397647,-0.02360662,-0.029311458,-0.044953603,0.27762476,0.046666283,0.0936523,-0.036248997,0.041592967,0.15918864,0.17397596,0.1842706,0.051205486,-0.109834835,-0.046232108,-0.12843701,-0.10623512,-0.22819243,0.021177575,0.18077862,-0.062056437,-0.17931908,-0.18025528,-0.17824374,0.41589716,-0.2406806,0.016355107,0.059676066,-0.19063246
rasa_tikta,0.09279809,-0.0773144,-0.116194054,-0.1646445,0.10538501,0.21877858,0.23100072,-0.10404471,-0.035374735,0.13338329,0.2510616,-0.25661469,0.29760608,0.055893395,-0.027579883,0.23255159,0.045917574,-0.0019557218,-0.43635777,0.018332154,-0.02606581,-0.061858606,-0.21357895,-0.06011442,0.028922876,-0.08087057,-0.12961462,-0.074695975,-0.15264565,0.06460849,0.08963053,0.05801135,0.06575393,0.09215266,0.14570925,0.1827518,0.04843179,-0.060552794,-0.30315292,-0.08739283,0.08370526,-0.0996365,0.15428598,0.27868626,0.07545075,0.22446758,0.0803044,-0.22101627,0.051940072,0.028936762,0.19367811,-0.093663126,-0.254805,-0.16208303,-0.06344476,-0.13470641,0.06428651,-0.22299561,0.0736752,0.4185784,0.024165168,-0.33545566,-0.15567316,0.059114393
virya_sheeta,-0.046431657,0.06562029,-0.33420813,-0.20411448,0.058709323,0.15652007,0.37919253,0.3080331,0.07048773,0.09471293,-0.02420243,-0.31708485,0.045995116,-0.014896338,-0.19635037,0.033707403,-0.07431532,-0.15309982,0.17709944,0.13935168,-0.32379377,-0.031979613,0.0027847874,-0.09254728,-0.08743224,-0.10600216,0.047242854,0.17090447,-0.13988434,0.22647102,0.27942792,0.107645564,0.082654655,0.11782174,0.07261245,-0.19949512,-0.08260408,-0.117731445,-0.31570235,-0.12968335,-0.10703188,-0.012030528,0.10970831,0.03355019,0.06509777,-0.07382589,0.404906,-0.065133445,0.66567606,0.052176654,0.22322454,-0.28463757,0.12687704,-0.20485282,-0.16370039,-0.010619756,0.17376684,-0.19363387,-0.061391868,0.14611278,0.110592395,-0.46037543,-0.09316112,0.21952051
vipaka_madhura,-0.038904306,-0.0040804837,-0.30298382,-0.167914,0.26404434,0.22983731,0.35889718,0.1935464,-0.21330331,-0.07657354,0.25558993,-0.21253583,-0.20961249,0.22424583,-0.36843497,-0.18687041,0.09986748,-0.1594991,0.07660158,0.15825802,0.11806848,0.052266374,0.27677542,0.12017712,0.23170494,-0.1417268,0.29904553,-0.016920578,-0.07644321,0.22376245,0.10911648,-0.10593423,-0.22179626,-0.036932696,-0.060433675,-0.02179556,-0.10676718,-0.11905931,-0.23757102,-0.04359663,-0.12190852,0.111581534,0.2000255,-0.23051079,0.38108146,-0.065084875,0.48532236,0.09643693,0.26206458,0.17119241,-0.20707542,-0.4198158,-0.006497168,-0.15925932,-0.0039651655,0.03203479,0.16606528,-0.09617465,0.14018913,0.39370084,-0.17053299,-0.17870304,-0.12327562,0.1347759
rasa_madhura,-0.1465154,0.0891449,-0.3110718,-0.06856128,0.1985658,0.18407674,0.32355967,-0.01012363,-0.18846771,-0.14338002,0.11020972,-0.27325645,-0.12780873,0.0670736,-0.3103736,-0.036409557,0.27265042,-0.17219715,0.15538232,0.2575893,-0.06317377,-0.017337749,0.34143573,0.17919493,0.339983,0.055454023,0.30803803,-0.02310813,-0.07367958,0.15145454,0.23933473,-0.06533706,-0.078587316,-0.026690017,-0.06039295,-0.06581038,-0.24412961,-0.06662239,-0.24121293,0.07882051,-0.24505791,0.1840873,0.16834788,-0.21035944,0.25256988,-0.09140592,0.49222365,0.07298817,0.2759032,0.049803067,-0.18197665,-0.47622746,0.030536704,-0.06315521,0.059513308,0.12361089,0.06674933,-0.08761192,-0.09918028,0.43178743,-0.23911376,-0.265939,-0.084052704,0.14042866
